humidity,precipMM,tempC,windspeedKmph,HeatIndexC
51,0,19,4,19
47,0,20,5,20
44,0,21,5,21
38,0,22,5,24
32,0,24,5,25
26,0,27,5,27
24,0,29,3,29
22,0,31,2,30
20,0,32,0,31
25,0,31,1,30
30,0,30,1,30
35,0,30,2,30
40,0,28,2,28
46,0,27,3,27
51,0,25,4,26
51,0,23,3,25
51,0,22,3,24
52,0,22,3,24
51,0,21,4,24
49,0,21,4,21
48,0,20,5,20
48,0,20,5,20
48,0,20,5,20
48,0,19,5,19
46,0,20,5,20
45,0,21,6,21
44,0,20,6,20
38,0,21,6,24
33,0,23,6,25
27,0,27,6,27
26,0,29,5,28
25,0,30,3,29
24,0,31,2,30
28,0,31,2,30
33,0,30,1,30
37,0,29,1,28
43,0,28,1,27
49,0,26,1,26
55,0,24,2,25
56,0,22,3,24
58,0,21,3,24
60,0,19,4,19
58,0,19,5,19
56,0,19,5,19
54,0,19,5,19
54,0,19,6,19
53,0,19,6,19
53,0,18,7,18
50,0,20,7,20
47,0,20,7,20
44,0,20,7,20
37,0,21,7,24
31,0,24,7,25
25,0,27,8,26
22,0,29,6,28
20,0,31,4,29
18,0,32,2,30
23,0,32,2,30
28,0,32,2,31
34,0,30,2,29
39,0,29,3,28
45,0,27,3,26
50,0,25,4,25
53,0,24,4,25
55,0,22,4,24
57,0,21,4,24
58,0,19,4,19
59,0,19,4,19
60,0,18,4,18
59,0,17,4,17
59,0,17,4,17
58,0,17,4,17
50,0,18,4,18
41,0,19,3,19
33,0,20,3,20
27,0,22,3,24
21,0,24,3,25
16,0,27,3,26
15,0,29,4,27
13,0,30,6,28
12,0,31,7,29
15,0,31,7,29
18,0,30,6,28
21,0,29,6,27
27,0,28,6,26
33,0,26,6,25
39,0,23,6,24
41,0,21,6,24
44,0,20,5,20
47,0,20,5,20
47,0,18,5,18
47,0,17,5,17
47,0,17,5,17
47,0,17,3,17
46,0,17,2,17
46,0,16,0,16
40,0,17,1,17
35,0,18,2,18
30,0,19,3,19
24,0,21,2,21
19,0,23,1,24
14,0,27,0,26
13,0,29,2,27
11,0,30,3,28
10,0,31,4,29
14,0,31,4,28
18,0,30,4,28
22,0,28,4,26
27,0,28,4,26
33,0,26,5,25
38,0,23,5,24
41,0,21,5,24
44,0,19,5,19
46,0,19,5,19
45,0,18,5,18
43,0,17,5,17
42,0,17,5,17
40,0,16,5,16
38,0,16,4,16
36,0,16,4,16
33,0,17,4,17
30,0,19,5,19
27,0,19,6,19
23,0,20,6,20
19,0,22,5,24
16,0,26,4,25
15,0,28,4,26
14,0,30,4,28
13,0,31,3,29
18,0,30,3,28
22,0,30,2,28
27,0,28,2,27
32,0,27,2,26
38,0,25,2,25
43,0,23,3,24
45,0,21,3,24
47,0,21,4,21
48,0,20,4,20
45,0,19,5,19
41,0,19,6,19
37,0,18,6,18
37,0,18,6,18
37,0,17,5,17
36,0,17,4,17
35,0,18,4,18
33,0,18,5,18
31,0,19,6,19
27,0,20,6,20
23,0,23,6,24
19,0,26,6,26
18,0,28,5,27
17,0,30,4,28
16,0,31,3,29
21,0,31,3,29
26,0,31,3,29
30,0,29,3,28
36,0,28,2,26
41,0,26,2,25
46,0,23,2,24
47,0,22,3,24
48,0,19,3,19
49,0,18,4,18
47,0,18,4,18
46,0,18,4,18
45,0,18,5,18
44,0,17,4,17
43,0,17,3,17
41,0,17,2,17
38,0,19,3,19
35,0,19,4,19
32,0,19,5,19
27,0,21,4,21
23,0,23,3,24
19,0,27,2,26
17,0,29,2,27
16,0,30,3,28
14,0,32,3,29
19,0,31,3,29
23,0,31,3,29
28,0,29,3,28
32,0,28,3,26
37,0,26,3,25
42,0,23,3,24
46,0,22,2,24
49,0,21,2,21
53,0,19,2,19
52,0,17,3,17
51,0,17,3,17
50,0,17,3,17
46,0,17,4,17
43,0,17,5,17
40,0,17,6,17
38,0,17,6,17
35,0,18,6,18
33,0,18,6,18
29,0,20,7,20
26,0,22,7,24
23,0,25,8,25
21,0,28,6,27
20,0,29,4,28
18,0,31,2,29
23,0,31,2,29
27,0,30,2,29
32,0,30,2,29
38,0,27,2,26
44,0,26,1,26
50,0,23,1,24
53,0,22,3,24
56,0,20,5,20
59,0,19,6,19
55,0,19,7,19
50,0,18,7,18
45,0,18,7,18
45,0,18,6,18
45,0,18,5,18
45,0,17,4,17
43,0,17,5,17
42,0,17,7,17
41,0,17,8,17
37,0,19,8,19
32,0,21,8,24
28,0,25,8,25
27,0,27,7,26
27,0,28,7,27
26,0,29,6,28
30,0,30,6,29
33,0,29,5,28
37,0,28,5,27
44,0,27,4,27
52,0,25,4,26
60,0,23,3,25
62,0,21,3,24
64,0,20,3,20
66,0,19,3,19
64,0,19,4,19
61,0,19,5,19
58,0,18,5,18
57,0,18,5,18
56,0,17,4,17
54,0,17,4,17
52,0,18,5,18
49,0,19,6,19
46,0,19,7,19
40,0,21,7,21
34,0,22,7,25
29,0,26,7,26
27,0,27,5,27
25,0,29,4,28
23,0,30,3,29
28,0,30,2,29
32,0,29,2,28
36,0,28,1,27
44,0,27,1,27
52,0,25,2,26
60,0,23,2,25
64,0,21,2,24
67,0,20,2,20
71,0,20,3,20
71,0,19,2,19
72,0,19,2,19
73,0,16,2,16
76,0,16,3,16
79,0,15,3,15
83,0,15,3,15
72,0,17,3,17
61,0,18,3,18
50,0,20,3,20
44,0,21,4,21
37,0,24,4,25
30,0,27,5,27
28,0,28,4,28
26,0,30,2,29
24,0,30,1,29
28,0,30,1,29
33,0,28,1,27
37,0,27,1,27
44,0,26,5,26
51,0,25,5,26
58,0,23,1,25
61,0,22,2,25
65,0,20,3,20
68,0,19,4,19
69,0,18,4,18
70,0,18,3,18
71,0,17,3,17
72,0,16,4,16
72,0,16,4,16
73,0,15,5,15
65,0,17,4,17
56,0,19,4,19
47,0,19,3,19
41,0,21,3,21
36,0,23,3,25
30,0,26,4,27
29,0,28,5,27
28,0,29,6,28
27,0,30,6,29
30,0,30,6,29
33,0,29,6,28
36,0,27,6,27
43,0,27,7,27
49,0,26,7,26
56,0,24,7,25
62,0,21,6,24
67,0,21,5,21
72,0,20,4,20
74,0,19,4,19
75,0,19,3,19
77,0,18,3,18
77,0,17,4,17
78,0,17,5,17
78,0,16,5,16
68,0,18,5,18
59,0,19,4,19
49,0,20,3,20
41,0,21,3,21
32,0,23,3,25
23,0,26,3,26
23,0,27,5,27
23,0,28,6,27
22,0,29,7,28
24,0,29,7,28
26,0,28,7,27
29,0,27,7,26
36,0,27,7,26
43,0,25,7,25
50,0,23,8,25
53,0,21,7,21
57,0,20,6,20
61,0,19,5,19
58,0,18,5,18
55,0,18,4,18
52,0,17,4,17
50,0,17,3,17
49,0,17,3,17
47,0,16,2,16
44,0,17,3,17
41,0,18,4,18
39,0,19,5,19
35,0,19,6,19
32,0,21,6,24
28,0,25,7,25
28,0,26,7,26
27,0,27,6,27
27,0,28,6,28
32,0,28,5,27
37,0,27,3,27
41,0,26,6,26
42,0,26,7,26
43,0,25,7,25
43,0,24,4,25
44,0,22,3,24
45,0,21,1,24
46,0,21,0,21
46,0,21,1,21
45,0,21,2,21
45,0,19,2,19
45,0,19,3,19
44,0,19,3,19
43,0,19,4,19
43,0,20,5,20
42,0,20,7,20
42,0,20,8,20
39,0,21,9,21
35,0,22,10,25
32,0,25,12,25
31,0,26,10,26
30,0,27,9,27
29,0,29,8,28
32,0,28,5,27
36,0,28,3,27
39,0,27,5,27
44,0,27,6,26
48,0,25,6,26
53,0,24,2,25
53,0,22,2,24
54,0,22,2,24
54,0,21,3,24
54,0,21,3,21
54,0,20,3,20
55,0,19,3,19
54,0,19,4,19
53,0,19,4,19
52,0,19,5,19
55,0,19,5,19
57,0,20,5,20
60,0,19,6,19
54,0,20,8,20
48,0,22,9,25
42,0,25,11,26
42,0,26,10,27
